1000
237   651   175   652   824   102   492    19   910   592
 116   291   367   785   459   109   599   754    20   796
  58   191   861   118   379   274   985   875   688   451
 900   817   753   186   474   348   584   510   296    47
 627   581   854   932   163   179    76   670   322   748
 880   767   701   617    18   779   941   201   326   452
 783   419   268   449   193   327     8   780   318   135
 469   583   770   600   636   181   405   353   864   746
 511   117   188   453   706    14   485   989   776   938
 285   917   514   279   132   699   947   531   513   893
 668    79   410   119   294   921   115   855   105   733
 328   933   233   150   137   159   663   926   870   719
 637   749   945  1000   433    93   342   477   878   341
 430   739   323   869   151   693   696   837   830   247
 582    25   942   554   763   437   450   281   210   828
 493   608   383   726    62   351   376   286    89   539
 565    34   134   203   112    27   722   254   157   231
 929   507   680   521   593   892   768   850   227   999
 528   561   106    64   744   760   287   909   208    31
 755   656   727    43   613   308    33    80   920   496
 266   196   131   455   362   648   595   169   884   509
 503   158   601   411   765   407   646   344   304   641
 872   762   580   876   764    16   803   644   190   804
 958   340   877   695   403   428   822    56   401   143
 257   357   497   815   141   299   698   172   165   557
 906   413   338   966   471    98   708   472   914    38
 894   249   334   229   705    96   258   404   289   811
 488   240   888   121    11   713   194   292   635   384
 252   458   483   207    50   422   209   737   841   516
 103   219   587   907   925   965   372   380   519   959
 462   774   672   273     6    92   916   802   679   317
 771   108   986   812   630   489   868   206   527   415
 301   798   681   217   730   371   238   242   571    74
 213   566   759    86   239   173   259    72    44   481
 230   491   857   711   873   538   345   806   936   816
 363   863   220   769   891   640   955    73   616   685
 717   791   761   216   978   330   532   745   885   262
  28   164   482   182   189   615   542    87   214   834
 114   819   988   659   676   167   440   922    77    95
 517   144   665   473    99   402   594   443   146   752
 414   618   355   734   621   243   756   740   918   984
 490   177    57   777    67    78   202   377   957   995
 198   446   896    69   673   611   393   358   874   859
 633   197    35   610   629    30   522   366   694   391
 563    10   747   544   597   980   429   842   352   961
 809   778   808   468   104   436   879   881     3   897
 306   288   409   647   626   710   653   120   898   666
 786   396   848   838   466   479   263   736   162   460
 523   307   187   951   423   275   797   250   412   508
  68   645   434   534   667   441   619   204    39   174
 982   154   448   365    59   963   709   545   417   662
 200   852    94   223   435   903   623   858   222   124
 374   788   100   660    83   757   270   236   639   833
 590   609   814   794   792   309   176   350   530   826
 315   454   498   829   155   871    17   467   495   677
  60   125   678   977   339    41   248   332   634   643
  52   772   825   267    70   944   303   314   949   438
 480   408   524   835   470   564   313   378   790   622
 199   416     9   661     4   171    12   331   983   940
 954   390    32   264   704   924   793   148   520   839
 971   935   795    91   484    63   547    26   127   234
 674    71    37   487   996   392   397   272    66   394
 649   529   388   360   882   692   381   502   889   195
 998   255   426   632   937   395   478   320   586   689
 368   465   506   349   335   325   684   501   553   950
 853   860   799   883   934    85   928   655   821   614
 589   915   766   133   225   500   775   293   642   899
  42   981   512   546   912   166   356   994   364   282
 387   475   562   161   908   347   505    21   447   591
 311   302   160   703   567   697   675   425    90    82
 787   604   904   686   184   178   990   638   691    23
 142   654   716   805   445   556   444   389   844   504
 946   620   801   406   943   624   931   993   856   111
 721    48   212    75   439    55   442   845   574   664
 650   336   807    84   537   577   687   559   113   215
   7   923   126   421   354   956   541   499   784   832
 221   136   657   246    45   714   831   992    13   758
 905   576   205   606   976   970   271   682   346   533
 612   297   256   312     5   671    97   782   840   420
 690   886   843   329   464   728   101    22   953   939
 720   361   560   979   123   964   847   572   290   887
 128   575    46   235   991   180   602   607   241   260
 300   813   398    65   715   138   370   244   277   140
 751   385   732     1   810   232   145   456   702   603
 997   261   400   168   911   723   851   424   729   550
 658   846   129   987   578   228   218   568   265   399
 579   895   226   975   245   867   569    54   156   573
 972   382   251   960   902   570   952   147   535   269
 683   741   139   418   432   305   731   283   276   543
 901   253   555   598   789   948   596   321   310   866
 486    51   110   461   183   827   919   549   927   552
 738   735   625    61   669    36   718   781    40   969
 930   800   333   373   107   849   518   967   742   457
 890   284   823    24   337   548   558   536   743   375
 968   324   476   725   192   427   605   153   865    49
 224   130   152     2   974   913    88   631   359   551
  15   525   343   836   211    81   862   962   724   750
 170   773   122   700   280    29   431   628   386   707
  53   295   585   185   494   818   526   515   712   369
 973   820   540   149   319   588   463   316   298   278
